# rlxfw's boot marks, one row per line of Realtek's source that rlxfw changes.
# R3-6.   Applied and checked by: tools/rlxfw-marks.py
#
# baseline-drop: src-vendor/rtl819x-toolchain @ 5c9be5d9
# tree-root: the STAGED top, so paths cover both linux-2.6.30/ and boards/
#
# WHY THERE ARE ELEVEN OF THESE AND NOT ONE.
# 量, on the built R3 vmlinux: printk is a stub, early_printk is a WEAK EMPTY
# stub (16 bytes at 0x80013bec: sw a1,4(sp) / sw a2,8(sp) / jr ra / sw
# a3,12(sp)), and panic_printk reaches the wire only after a console is
# registered.  讀, this unit's own capture bench/2026-08-24c/G6.log: from
# `start address: 0x80003440` to `Realtek WLAN driver - version 1.6` there is
# NOTHING.  So a kernel that dies anywhere in start_kernel produces one
# capture -- `start address:` then silence -- whatever killed it.  R3's D3
# ("early bring-up completes") had no observable at all, and R3-8's first
# seating would have spent a power cycle to learn nothing.
#
# Each row below is placed to make one suspect readable as one line.  The rule
# for adding a row is: it must separate two causes that would otherwise share
# a capture.  A row that only says "we got further" is not worth a line of
# somebody else's source.
#
# WHAT MAKES THESE DISCRIMINATORS RATHER THAN LABELS.
# The anti-DoD (PROGRESS.md): 2026-08-25 a second `J 80500000` booted the
# VENDOR kernel, so a banner is not evidence.  These are constants, which is
# the weaker form -- but `rlxfw-marks.py verify` reads the built image AND the
# vendor's, and a constant absent from the vendor image cannot be printed by
# it.  B02 and B07 are the stronger form on top: their values are read out of
# this die at run time.
#
# COST.  38400 8N1 = 3,840 B/s. Eleven marks, mean 11 bytes -> ~32 ms of UART
# on a boot whose loader stage alone takes 348 ms (CLK-15). Not measurable.
#
# id	file	position	anchor	insert	reason

# ----------------------------------------------------------------------------
# The four rows that are not marks: my file has to reach the link, and the
# call sites need a prototype -- arch/rlx/kernel/Makefile carries
# `EXTRA_CFLAGS += -Werror`, so an implicit declaration is a build failure.
# The anchor for each include is a line that occurs exactly once in that file,
# which is checked rather than assumed.
# ----------------------------------------------------------------------------
MK	linux-2.6.30/arch/rlx/kernel/Makefile	after	obj-$(CONFIG_EARLY_PRINTK) += early_printk.o	obj-y += rlxfw_mark.o	rlxfw_mark.c is copied in by --src and needs a Kbuild line. It is placed immediately after early_printk.o on purpose: prom_putchar, the only function rlxfw_mark calls, is built by THAT line, so the dependency is visible in the file rather than only in the #error inside it. The anchor is written with single spaces and matched normalised, because Kbuild lines are tab-aligned and this file is tab-separated
IN1	linux-2.6.30/init/main.c	after	#include <linux/kernel_stat.h>	#include <linux/rlxfw-mark.h>	the prototype for B00, B09 and B10
IN2	linux-2.6.30/arch/rlx/kernel/setup.c	after	#include <asm/setup.h>	#include <linux/rlxfw-mark.h>	the prototype for B01, B02, B03 and B08. This file also gets read_c0_prid() for B02, which is arch/rlx/include/asm/rlxregs.h:304 -- if it is not already reachable here the build says so rather than compiling an implicit declaration, because of -Werror
IN3	boards/rtl8196e/bsp/setup.c	after	#include "bspchip.h"	#include <linux/rlxfw-mark.h>	the prototype for B04, B05, B06 and B07. Anchored on the board-local include rather than a linux/ one, because this file is not under arch/rlx and its include list is the board's

# ----------------------------------------------------------------------------
# Before any console exists.  This window is unreachable by CONFIG_PRINTK=y as
# well: setup_early_printk() does not run until arch/rlx/kernel/setup.c:546.
# ----------------------------------------------------------------------------
B00	linux-2.6.30/init/main.c	after	page_address_init();	rlxfw_mark("B00");	the first mark, and the only claim that matters at D1/D2: the decompressor handed control over, the kernel is running C, and the UART the loader left behind still works. Placed after page_address_init() and before the printk(linux_banner) that is a stub in this configuration. Silence here with `start address:` printed means the image was entered and died before or inside start_kernel's prologue -- which RUNSHEET B03 records as TWO causes and this separates from the rest
